city,iataCode, Airport name, Location, Country,isInternational
PBM Johan Adolf Pengel International Airport,PBM,Johan Adolf Pengel International Airport,Zanderij,Suriname,YES
PUQ Carlos Ibanez Del Campo International Airport,PUQ,Carlos Ibanez Del Campo International Airport,Punta Arenas,Chile,YES
BEN Benina International Airport,BEN,Benina International Airport,Benghazi,Libya,YES
PUS Gimhae International Airport,PUS,Gimhae International Airport,Busan,South Korea,YES
CZS Cruzeiro do Sul International Airport,CZS,Cruzeiro do Sul International Airport,"Cruzeiro do Sul, Acre",Brazil,YES
JNU Juneau International Airport,JNU,Juneau International Airport,"Juneau, Alaska",United States,YES
SMR Simón Bolívar International Airport,SMR,Simón Bolívar International Airport,Santa Marta,Colombia,YES
UGC Urgench International Airport,UGC,Urgench International Airport,Urgench,Uzbekistan,YES
GAU Lokpriya Gopinath Bordoloi International Airport,GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,YES
LYP Faisalabad International Airport,LYP,Faisalabad International Airport,Faisalabad,Pakistan,YES
RST Rochester International Airport,RST,Rochester International Airport,"Rochester, Minnesota",United States,YES
EVN Zvartnots International Airport,EVN,Zvartnots International Airport,Yerevan,Armenia,YES
RSW Southwest Florida International Airport,RSW,Southwest Florida International Airport,"Fort Myers, Florida",United States,YES
DVO Francisco Bangoy International Airport,DVO,Francisco Bangoy International Airport,Davao City,Philippines,YES
KIN Norman Manley International Airport,KIN,Norman Manley International Airport,Kingston,Jamaica,YES
"KVA Kavala International Airport, Megas Alexandros",KVA,"Kavala International Airport, Megas Alexandros",Kavala,Greece,YES
MVD Carrasco Gral.Cesáreo L.Berisso International Airport,MVD,Carrasco Gral.Cesáreo L.Berisso International Airport,"Montevideo, Montevideo",Uruguay,YES
RTB Juan Manuel Gálvez International Airport,RTB,Juan Manuel Gálvez International Airport,Roatán,Honduras,YES
JOG Adisucipto International Airport,JOG,Adisucipto International Airport,Yogyakarta,Indonesia,YES
ASM Asmara International Airport,ASM,Asmara International Airport,Asmara,Eritrea,YES
INU Nauru International Airport,INU,Nauru International Airport,Yaren,Nauru,YES
MKE GENERAL Mitchell International Airport,MKE,GENERAL Mitchell International Airport,"Milwaukee, Wisconsin",United States,YES
LYX London Ashford International Airport (Ferryfield),LYX,London Ashford International Airport (Ferryfield),"Lydd, England",United Kingdom,YES
NTY Pilanesberg International Airport,NTY,Pilanesberg International Airport,Pilanesberg,South Africa,YES
PCL Captain Rolden International Airport,PCL,Captain Rolden International Airport,Pucallpa,Peru,YES
DAB Daytona Beach International Airport,DAB,Daytona Beach International Airport,"Daytona Beach, Florida",United States,YES
GUA La Aurora International Airport,GUA,La Aurora International Airport,Guatemala City,Guatemala,YES
DAC Shahjalal International Airport,DAC,Shahjalal International Airport,Dhaka,Bangladesh,YES
PVG Shanghai Pudong International Airport,PVG,Shanghai Pudong International Airport,Shanghai,People's Republic of China,YES
DAD Da Nang International Airport,DAD,Da Nang International Airport,Da Nang,Vietnam,YES
DWC Al Maktoum International Airport,DWC,Al Maktoum International Airport,"Jebel Ali, Dubai",United Arab Emirates,YES
PVH Governador Jorge Teixeira de Oliveira International Airport,PVH,Governador Jorge Teixeira de Oliveira International Airport,Porto Velho,Brazil,YES
QDH Ashford International,QDH,Ashford International,"Ashford, Kent",United Kingdom,YES
ASR Erkilet International Airport,ASR,Erkilet International Airport,Kayseri Province,Turkey,YES
BEY Beirut Air Base/Beirut Rafic Hariri International Airport,BEY,Beirut Air Base/Beirut Rafic Hariri International Airport,Beirut,Lebanon,YES
CND Mihail Kog?lniceanu International Airport,CND,Mihail Kog?lniceanu International Airport,Constan?a,Romania,YES
GBE Sir Seretse Khama International Airport,GBE,Sir Seretse Khama International Airport,Gaborone,Botswana,YES
UIO Mariscal Sucre International Airport,UIO,Mariscal Sucre International Airport,Quito,Ecuador,YES
WLG Wellington International Airport,WLG,Wellington International Airport,Wellington,New Zealand,YES
KIV Chi?in?u International Airport,KIV,Chi?in?u International Airport,Chi?in?u,Moldova,YES
RUH King Khalid International Airport,RUH,King Khalid International Airport,Riyadh,Saudi Arabia,YES
ASU Silvio Pettirossi International Airport,ASU,Silvio Pettirossi International Airport,Asunción,Paraguay,YES
CNF Tancredo Neves International Airport,CNF,Tancredo Neves International Airport,"Confins, Minas Gerais",Brazil,YES
EWR Newark Liberty International Airport,EWR,Newark Liberty International Airport,"Newark/Elizabeth, New Jersey",United States,YES
CBR Canberra International Airport,CBR,Canberra International Airport,Canberra,Australia,YES
KIX Kansai International Airport,KIX,Kansai International Airport,Osaka,Japan,YES
PDG Minangkabau International Airport,PDG,Minangkabau International Airport,"Ketaping, West Sumatra",Indonesia,YES
PVR Lic.Gustavo Díaz Ordaz International Airport,PVR,Lic.Gustavo Díaz Ordaz International Airport,"Puerto Vallarta, Jalisco",Mexico,YES
ASW Aswan International Airport,ASW,Aswan International Airport,Aswan,Egypt,YES
DXB Dubai International Airport,DXB,Dubai International Airport,Dubai,United Arab Emirates,YES
HPH Cat Bi International Airport (Catbi Airport),HPH,Cat Bi International Airport (Catbi Airport),Hai Phong (Haiphong),Vietnam,YES
EXT Exeter International Airport,EXT,Exeter International Airport,Exeter,United Kingdom,YES
JPA Presidente Castro Pinto International Airport,JPA,Presidente Castro Pinto International Airport,"João Pessoa, Paraíba",Brazil,YES
SNN Shannon International Airport,SNN,Shannon International Airport,Shannon (County Clare),Ireland,YES
DAM Damascus International Airport,DAM,Damascus International Airport,Damascus,Syria,YES
KWE Guiyang Longdongbao International Airport,KWE,Guiyang Longdongbao International Airport,"Guiyang, Guizhou",China,YES
PDP C/C Carlos A.Curbelo de Laguna del Sauce International Airport,PDP,C/C Carlos A.Curbelo de Laguna del Sauce International Airport,"Maldonado/Punta del Este, Maldonado",Uruguay,YES
MAA Chennai International Airport (Madras International Airport),MAA,Chennai International Airport (Madras International Airport),Chennai (Madras),India,YES
PDS Piedras Negras International Airport,PDS,Piedras Negras International Airport,"Piedras Negras, Coahuila",Mexico,YES
BFI Boeing Field/King County International Airport,BFI,Boeing Field/King County International Airport,"Seattle, Washington",United States,YES
GUM Antonio B. Won Pat International Airport (Guam International),GUM,Antonio B. Won Pat International Airport (Guam International),Hagåtña,Guam,YES
AGT Guarani International Airport (Alejo Garcia Airport),AGT,Guarani International Airport (Alejo Garcia Airport),Ciudad del Este,Paraguay,YES
DAR Julius Nyerere International Airport,DAR,Julius Nyerere International Airport,Dar es Salaam,Tanzania,YES
EYW Key West International Airport,EYW,Key West International Airport,"Key West, Florida",United States,YES
KJK Kortrijk-Wevelgem International Airport,KJK,Kortrijk-Wevelgem International Airport,Wevelgem,Belgium,YES
PDU Tydeo Larre Borges International Airport,PDU,Tydeo Larre Borges International Airport,"Paysandú, Paysandú",Uruguay,YES
AGU Lic. Jesús Terán Peredo International Airport,AGU,Lic. Jesús Terán Peredo International Airport,Aguascalientes,Mexico,YES
EZE Ministro Pistarini International Airport,EZE,Ministro Pistarini International Airport,Ezeiza,Argentina,YES
KWI Kuwait International Airport,KWI,Kuwait International Airport,Kuwait City,Kuwait,YES
PDV Plovdiv International Airport,PDV,Plovdiv International Airport,Plovdiv,Bulgaria,YES
TGM Târgu Mure? International Airport,TGM,Târgu Mure? International Airport,Târgu-Mure?,Romania,YES
IPC Mataveri International Airport,IPC,Mataveri International Airport,Easter Island,Chile,YES
NVT Ministro Victor Konder International Airport,NVT,Ministro Victor Konder International Airport,"Navegantes, Santa Catarina",Brazil,YES
PDX Portland International Airport,PDX,Portland International Airport,"Portland, Oregon",United States,YES
CNQ Doctor Fernando Piragine Niveyro International Airport,CNQ,Doctor Fernando Piragine Niveyro International Airport,"Corrientes, Corrientes",Argentina,YES
DAV Enrique Malek International Airport,DAV,Enrique Malek International Airport,"David, Chiriquí Province",Panama,YES
HRB Harbin Taiping International Airport,HRB,Harbin Taiping International Airport,"Harbin, Heilongjiang",China,YES
MAF Midland International Airport,MAF,Midland International Airport,"Midland, Texas",United States,YES
PWM Portland International Jetport,PWM,Portland International Jetport,"Portland, Maine",United States,YES
SOB Sármellék International Airport,SOB,Sármellék International Airport,Sármellék,Hungary,YES
TGU Toncontín International Airport,TGU,Toncontín International Airport,Tegucigalpa,Honduras,YES
KWL Guilin Liangjiang International Airport,KWL,Guilin Liangjiang International Airport,"Guilin, Guangxi",China,YES
LLK Lankaran International Airport,LLK,Lankaran International Airport,Lankaran,Azerbaijan,YES
MVZ Masvingo International Airport,MVZ,Masvingo International Airport,Masvingo,Zimbabwe,YES
SOC Adi Soemarmo International Airport,SOC,Adi Soemarmo International Airport,Solo City,Indonesia,YES
TGZ Angel Albino Corzo International Airport,TGZ,Angel Albino Corzo International Airport,"Tuxtla Gutiérrez, Chiapas",Mexico,YES
YEG Edmonton International Airport,YEG,Edmonton International Airport,"Edmonton, Alberta",Canada,YES
CNS Cairns International Airport,CNS,Cairns International Airport,"Cairns, Queensland",Australia,YES
DAY Dayton International Airport,DAY,Dayton International Airport,"Dayton, Ohio",United States,YES
HRE Harare International Airport,HRE,Harare International Airport,Harare,Zimbabwe,YES
NWI Norwich International Airport,NWI,Norwich International Airport,"Norwich, England",United Kingdom,YES
RVY Pte.Gral.Óscar D.Gestido International Airport,RVY,Pte.Gral.Óscar D.Gestido International Airport,"Rivera, Rivera",Uruguay,YES
ATH Athens International Airport,ATH,Athens International Airport,Athens,Greece,YES
DZA Dzaoudzi Pamandzi International Airport,DZA,Dzaoudzi Pamandzi International Airport,Dzaoudzi,Mayotte,YES
HRG Hurghada International Airport,HRG,Hurghada International Airport,Hurghada,Egypt,YES
MKZ Malacca International Airport,MKZ,Malacca International Airport,Batu Berendam,Malaysia,YES
ULN Chinggis Khaan International Airport,ULN,Chinggis Khaan International Airport,Ulan Bator,Mongolia,YES
ATI Artigas International Airport,ATI,Artigas International Airport,"Artigas, Artigas",Uruguay,YES
HRI Mattala Rajapaksa International Airport,HRI,Mattala Rajapaksa International Airport,Hambantota,Sri Lanka,YES
MAJ Marshall Islands International Airport (Amata Kabua INT 'l),MAJ,Marshall Islands International Airport (Amata Kabua INT 'l),Majuro,Marshall Islands,YES
MLA Malta International Airport (Luqa Airport),MLA,Malta International Airport (Luqa Airport),Luqa,Malta,YES
PEI Matecaña International Airport,PEI,Matecaña International Airport,Pereira,Colombia,YES
BFS Belfast International Airport,BFS,Belfast International Airport,"Belfast, Northern Ireland",United Kingdom,YES
MLB Melbourne International Airport,MLB,Melbourne International Airport,"Melbourne, Florida",United States,YES
PEK Beijing Capital International Airport,PEK,Beijing Capital International Airport,Beijing,People's Republic of China,YES
PXM Puerto Escondido International Airport,PXM,Puerto Escondido International Airport,"Puerto Escondido, Oaxaca",Mexico,YES
DZO Santa Bernardina International Airport,DZO,Santa Bernardina International Airport,"Durazno, Durazno",Uruguay,YES
GCM Owen Roberts International Airport,GCM,Owen Roberts International Airport,Georgetown,Cayman Islands,YES
HRK Kharkiv International Airport (Osnova Airport),HRK,Kharkiv International Airport (Osnova Airport),Kharkiv,Ukraine,YES
PEM Puerto Maldonado International Airport,PEM,Puerto Maldonado International Airport,Puerto Maldonado,Peru,YES
THF Tempelhof International Airport,THF,Tempelhof International Airport,Berlin,Germany,YES
ATL Hartsfield–Jackson Atlanta International Airport,ATL,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia",United States,YES
CNX Chiang Mai International Airport,CNX,Chiang Mai International Airport,Chiang Mai,Thailand,YES
FAI Fairbanks International Airport,FAI,Fairbanks International Airport,"Fairbanks, Alaska",United States,YES
HRL Valley International Airport,HRL,Valley International Airport,"Harlingen, Texas",United States,YES
MAM GENERAL Servando Canales International Airport,MAM,GENERAL Servando Canales International Airport,"Matamoros, Tamaulipas",Mexico,YES
PEN Penang International Airport,PEN,Penang International Airport,Penang,Malaysia,YES
GVA Cointrin International Airport,GVA,Cointrin International Airport,Geneva,Switzerland,YES
JRO Kilimanjaro International Airport,JRO,Kilimanjaro International Airport,Kilimanjaro,Tanzania,YES
MLE Malé International Airport,MLE,Malé International Airport,Hulhulé Island,Maldives,YES
SON Santo-Pekoa International Airport,SON,Santo-Pekoa International Airport,Luganville,Vanuatu,YES
JRS Atarot Airport (Jerusalem International Airport),JRS,Atarot Airport (Jerusalem International Airport),Jerusalem,Israel,YES
LLW Kamuzu International Airport,LLW,Kamuzu International Airport,Lilongwe,Malawi,YES
MAO Eduardo Gomes International Airport,MAO,Eduardo Gomes International Airport,"Manaus, Amazonas",Brazil,YES
MWH GRANT County International Airport,MWH,GRANT County International Airport,"Moses Lake, Washington",United States,YES
IQQ Diego Aracena International Airport,IQQ,Diego Aracena International Airport,Iquique,Chile,YES
PET Pelotas International Airport,PET,Pelotas International Airport,"Pelotas, Rio Grande DO Sul",Brazil,YES
ATQ Sri Guru Ram Dass Jee International Airport,ATQ,Sri Guru Ram Dass Jee International Airport,Amritsar,India,YES
IQT Crnl. FAP Francisco Secada Vignetta International Airport,IQT,Crnl. FAP Francisco Secada Vignetta International Airport,"Iquitos, Loreto",Peru,YES
MAR La Chinita International Airport,MAR,La Chinita International Airport,Maracaibo,Venezuela,YES
MLI Quad City International Airport,MLI,Quad City International Airport,"Moline, Illinois",United States,YES
THR Mehrabad International Airport,THR,Mehrabad International Airport,Tehran,Iran,YES
ATR Atar International Airport,ATR,Atar International Airport,Atar,Mauritania,YES
CCP Carriel Sur International Airport,CCP,Carriel Sur International Airport,"Concepción, Bío Bío Region",Chile,YES
YTM Rivière Rouge/Mont-Tremblant International Airport,YTM,Rivière Rouge/Mont-Tremblant International Airport,"Mont-Tremblant (La Macaza), Quebec",Canada,YES
FAR Hector International Airport,FAR,Hector International Airport,"Fargo, North Dakota",United States,YES
MLM GENERAL Francisco J.Mujica International Airport,MLM,GENERAL Francisco J.Mujica International Airport,"Morelia, Michoacán",Mexico,YES
PZU PORT Sudan New International Airport,PZU,PORT Sudan New International Airport,PORT Sudan,Sudan,YES
BGF Bangui M'Poko International Airport,BGF,Bangui M'Poko International Airport,Bangui,Central African Republic,YES
CCS Simón Bolívar International Airport,CCS,Simón Bolívar International Airport,Maiquetía,Venezuela,YES
FAT Fresno Yosemite International Airport,FAT,Fresno Yosemite International Airport,"Fresno, California",United States,YES
GDL Don Miguel Hidalgo y Costilla International Airport,GDL,Don Miguel Hidalgo y Costilla International Airport,Guadalajara,Mexico,YES
QAJ Ajman International Airport,QAJ,Ajman International Airport,Ajman,United Arab Emirates,YES
YFC Fredericton International Airport,YFC,Fredericton International Airport,"Fredericton, New Brunswick",Canada,YES
BGI Grantley Adams International Airport,BGI,Grantley Adams International Airport,Bridgetown,Barbados,YES
CCU Netaji Subhas Chandra Bose International Airport,CCU,Netaji Subhas Chandra Bose International Airport,Dum Dum,India,YES
PFN Panama City - Bay County International Airport,PFN,Panama City - Bay County International Airport,"Panama City, Florida",United States,YES
PFO Paphos International Airport,PFO,Paphos International Airport,Paphos,Cyprus,YES
TIA Tirana International Airport Nënë Tereza,TIA,Tirana International Airport Nënë Tereza,Tirana,Albania,YES
BRM Jacinto Lara International Airport,BRM,Jacinto Lara International Airport,Barquisimeto,Venezuela,YES
COK Cochin International Airport (Nedumbassery Airport),COK,Cochin International Airport (Nedumbassery Airport),"Nedumbassery, Kerala",India,YES
EBB Entebbe International Airport,EBB,Entebbe International Airport,Entebbe,Uganda,YES
LMM Federal del Valle del Fuerte International Airport,LMM,Federal del Valle del Fuerte International Airport,"Los Mochis, Sinaloa",Mexico,YES
MBA Moi International Airport,MBA,Moi International Airport,Mombasa,Kenya,YES
OAK Oakland International Airport,OAK,Oakland International Airport,"Oakland, California",United States,YES
AUA Queen Beatrix International Airport,AUA,Queen Beatrix International Airport,Oranjestad,Aruba,YES
BRO Brownsville/South Padre Island International Airport,BRO,Brownsville/South Padre Island International Airport,"Brownsville, Texas",United States,YES
CCZ Chub Cay International Airport,CCZ,Chub Cay International Airport,"Chub Cay, Berry Islands",Bahamas,YES
GDT J.A.G.S. McCartney International Airport (Grand Turk Int'l),GDT,J.A.G.S. McCartney International Airport (Grand Turk Int'l),Grand Turk Island,Turks and Caicos Islands,YES
OAX Xoxocotlán International Airport,OAX,Xoxocotlán International Airport,Oaxaca,Mexico,YES
SAH El Rahaba Airport (Sanaa International),SAH,El Rahaba Airport (Sanaa International),Sana'a,Yemen,YES
TIJ General Abelardo L. Rodríguez International Airport,TIJ,General Abelardo L. Rodríguez International Airport,"Tijuana, Baja California",Mexico,YES
EBL Erbil International Airport,EBL,Erbil International Airport,"Erbil, Kurdistan",Iraq,YES
FBM Lubumbashi International Airport,FBM,Lubumbashi International Airport,Lubumbashi,Democratic Republic of the Congo,YES
MBD Mafikeng International Airport,MBD,Mafikeng International Airport,Mmabatho,South Africa,YES
UPG Sultan Hasanuddin International Airport,UPG,Sultan Hasanuddin International Airport,Makassar,Indonesia,YES
PGL Trent Lott International Airport,PGL,Trent Lott International Airport,"Pascagoula, Mississippi",United States,YES
SPN Saipan International Airport (Francisco C. Ada),SPN,Saipan International Airport (Francisco C. Ada),Saipan Island,Northern Mariana Islands,YES
TIP Tripoli International Airport,TIP,Tripoli International Airport,Tripoli,Libya,YES
UPN Lic. y Gen. Ignacio López Rayón International Airport,UPN,Lic. y Gen. Ignacio López Rayón International Airport,"Uruapan, Michoacán",Mexico,YES
BGR Bangor International Airport,BGR,Bangor International Airport,"Bangor, Maine",United States,YES
COR Ingeniero Ambrosio L.V. Taravella International Airport (Pajas Blancas),COR,Ingeniero Ambrosio L.V. Taravella International Airport (Pajas Blancas),"Córdoba, Córdoba",Argentina,YES
MLZ Cerro Largo International Airport,MLZ,Cerro Largo International Airport,"Melo, Cerro Largo",Uruguay,YES
SAL El Salvador International Airport,SAL,El Salvador International Airport,San Salvador,El Salvador,YES
TIQ Tinian International Airport (West Tinian),TIQ,Tinian International Airport (West Tinian),Tinian Island,Northern Mariana Islands,YES
HSV Huntsville International Airport (Carl T. Jones Field),HSV,Huntsville International Airport (Carl T. Jones Field),"Huntsville / Decatur, Alabama",United States,YES
ISB Benazir Bhutto International Airport (Islamabad International),ISB,Benazir Bhutto International Airport (Islamabad International),Islamabad / Rawalpindi,Pakistan,YES
SAN San Diego International Airport,SAN,San Diego International Airport,"San Diego, California",United States,YES
AUH Abu Dhabi International Airport,AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,YES
FCA Glacier Park International Airport,FCA,Glacier Park International Airport,"Kalispell, Montana",United States,YES
URC Ürümqi Diwopu International Airport,URC,Ürümqi Diwopu International Airport,"Ürümqi, Xinjiang",China,YES
YUL Montréal–Pierre Elliott Trudeau International Airport,YUL,Montréal–Pierre Elliott Trudeau International Airport,"Dorval, Quebec",Canada,YES
MBJ Sangster International Airport,MBJ,Sangster International Airport,Montego Bay,Jamaica,YES
SAP La Mesa International Airport,SAP,La Mesa International Airport,San Pedro Sula,Honduras,YES
YUM Yuma International Airport / MCAS Yuma,YUM,Yuma International Airport / MCAS Yuma,"Yuma, Arizona",United States,YES
BRX Maria Montez International Airport,BRX,Maria Montez International Airport,Barahona,Dominican Republic,YES
MXL GENERAL Rodolfo Sánchez Taboada International Airport,MXL,GENERAL Rodolfo Sánchez Taboada International Airport,"Mexicali, Baja California",Mexico,YES
URG Rubem Berta International Airport,URG,Rubem Berta International Airport,"Uruguaiana, Rio Grande do Sul",Brazil,YES
BGW Baghdad International Airport,BGW,Baghdad International Airport,Baghdad,Iraq,YES
PHB Parnaíba-Prefeito Dr.João Silva Filho International Airport,PHB,Parnaíba-Prefeito Dr.João Silva Filho International Airport,"Parnaiba, Piaui",Brazil,YES
PHC PORT Harcourt International Airport (Omagwa INT 'l),PHC,PORT Harcourt International Airport (Omagwa INT 'l),PORT Harcourt,Nigeria,YES
SAT San Antonio International Airport,SAT,San Antonio International Airport,"San Antonio, Texas",United States,YES
BSA Bender Qassim International Airport,BSA,Bender Qassim International Airport,Boosaaso,Somalia,YES
GEG Spokane International Airport,GEG,Spokane International Airport,"Spokane, Washington",United States,YES
GYD Heydar Aliyev International Airport (Bina Int'l),GYD,Heydar Aliyev International Airport (Bina Int'l),Baku,Azerbaijan,YES
BSB Brasília International Airport,BSB,Brasília International Airport,"Brasília, Distrito Federal",Brazil,YES
ECP Northwest Florida Beaches International Airport,ECP,Northwest Florida Beaches International Airport,"Panama City, Florida",United States,YES
GYE José Joaquín de Olmedo International Airport,GYE,José Joaquín de Olmedo International Airport,Santiago de Guayaquil,Ecuador,YES
JUJ Gobernador Horacio Guzmán International Airport,JUJ,Gobernador Horacio Guzmán International Airport,"San Salvador de Jujuy, Jujuy",Argentina,YES
KLO Kalibo International Airport,KLO,Kalibo International Airport,"Kalibo, Aklan",Philippines,YES
PHE PORT Hedland International Airport,PHE,PORT Hedland International Airport,"PORT Hedland, Western Australia",Australia,YES
SAV Savannah/Hilton Head International Airport,SAV,Savannah/Hilton Head International Airport,"Savannah, Georgia",United States,YES
SQQ Šiauliai International Airport,SQQ,Šiauliai International Airport,Šiauliai,Lithuania,YES
PHF Newport News/Williamsburg International Airport,PHF,Newport News/Williamsburg International Airport,"Newport News, Virginia",United States,YES
SAW Sabiha Gökçen International Airport,SAW,Sabiha Gökçen International Airport,Istanbul,Turkey,YES
GEO Cheddi Jagan International Airport (Timehri Int'l),GEO,Cheddi Jagan International Airport (Timehri Int'l),Georgetown,Guyana,YES
OCF Ocala International Airport (Jim Taylor Field),OCF,Ocala International Airport (Jim Taylor Field),"Ocala, Florida",United States,YES
DEL Indira Gandhi International Airport,DEL,Indira Gandhi International Airport,Delhi,India,YES
ISN Sloulin Field International Airport,ISN,Sloulin Field International Airport,"Williston, North Dakota",United States,YES
KZN Kazan International Airport,KZN,Kazan International Airport,"Kazan, Tatarstan",Russia,YES
MBS MBS International Airport,MBS,MBS International Airport,"Midland / Bay City / Saginaw, Michigan",United States,YES
PHL Philadelphia International Airport,PHL,Philadelphia International Airport,"Philadelphia, Pennsylvania",United States,YES
USH Ushuaia - Malvinas Argentinas International Airport,USH,Ushuaia - Malvinas Argentinas International Airport,"Ushuaia, Tierra del Fuego",Argentina,YES
CPE Ing. Alberto Acuña Ongay International Airport,CPE,Ing. Alberto Acuña Ongay International Airport,"Campeche, Campeche",Mexico,YES
GES General Santos International Airport (Tambler Airport),GES,General Santos International Airport (Tambler Airport),General Santos City,Philippines,YES
